id,order_number,serial_number,mac_address,used,test_result,timestamp,operator,created_at,updated_at,post_testing_changes
, , ,00:13:C6:13:40:A4,False,False,, ,,, 
, , ,00:13:C6:13:40:A5,False,False,, ,,, 
, , ,00:13:C6:13:40:A6,False,False,, ,,, 
, , ,00:13:C6:13:40:A7,False,False,, ,,, 
, , ,00:13:C6:13:40:A8,False,False,, ,,, 
, , ,00:13:C6:13:40:A9,False,False,, ,,, 
, , ,00:13:C6:13:40:AA,False,False,, ,,, 
, , ,00:13:C6:13:40:AB,False,False,, ,,, 
, , ,00:13:C6:13:40:AC,False,False,, ,,, 
, , ,00:13:C6:13:40:AD,False,False,, ,,, 
, , ,00:13:C6:13:40:AE,False,False,, ,,, 
, , ,00:13:C6:13:40:AF,False,False,, ,,, 
, , ,00:13:C6:13:40:B0,False,False,, ,,, 
, , ,00:13:C6:13:40:B1,False,False,, ,,, 
, , ,00:13:C6:13:40:B2,False,False,, ,,, 
, , ,00:13:C6:13:40:B3,False,False,, ,,, 
, , ,00:13:C6:13:40:B4,False,False,, ,,, 
, , ,00:13:C6:13:40:B5,False,False,, ,,, 
, , ,00:13:C6:13:40:B6,False,False,, ,,, 
, , ,00:13:C6:13:40:B7,False,False,, ,,, 
, , ,00:13:C6:13:40:B8,False,False,, ,,, 
, , ,00:13:C6:13:40:B9,False,False,, ,,, 
, , ,00:13:C6:13:40:BA,False,False,, ,,, 
, , ,00:13:C6:13:40:BB,False,False,, ,,, 
, , ,00:13:C6:13:40:BC,False,False,, ,,, 
, , ,00:13:C6:13:40:BD,False,False,, ,,, 
, , ,00:13:C6:13:40:BE,False,False,, ,,, 
, , ,00:13:C6:13:40:BF,False,False,, ,,, 
, , ,00:13:C6:13:40:C0,False,False,, ,,, 
, , ,00:13:C6:13:40:C1,False,False,, ,,, 
, , ,00:13:C6:13:40:C2,False,False,, ,,, 
, , ,00:13:C6:13:40:C3,False,False,, ,,, 
, , ,00:13:C6:13:40:C4,False,False,, ,,, 
, , ,00:13:C6:13:40:C5,False,False,, ,,, 
, , ,00:13:C6:13:40:C6,False,False,, ,,, 
, , ,00:13:C6:13:40:C7,False,False,, ,,, 
, , ,00:13:C6:13:40:C8,False,False,, ,,, 
, , ,00:13:C6:13:40:C9,False,False,, ,,, 
, , ,00:13:C6:13:40:CA,False,False,, ,,, 
, , ,00:13:C6:13:40:CB,False,False,, ,,, 
, , ,00:13:C6:13:40:CC,False,False,, ,,, 
, , ,00:13:C6:13:40:CD,False,False,, ,,, 
, , ,00:13:C6:13:40:CE,False,False,, ,,, 
, , ,00:13:C6:13:40:CF,False,False,, ,,, 
, , ,00:13:C6:13:40:D0,False,False,, ,,, 
, , ,00:13:C6:13:40:D1,False,False,, ,,, 
, , ,00:13:C6:13:40:D2,False,False,, ,,, 
, , ,00:13:C6:13:40:D3,False,False,, ,,, 
, , ,00:13:C6:13:40:D4,False,False,, ,,, 
